BGIBMGA008184	XP_012543771.1
BGIBMGA003366	XP_004922977.1
BGIBMGA000972	XP_012547151.1
BGIBMGA007863	NP_001164469.1
BGIBMGA002758	XP_004927227.1
BGIBMGA003378	XP_012552850.1
BGIBMGA001687	XP_012547969.1
BGIBMGA000517	XP_004929986.2
BGIBMGA008053	XP_012552750.1
BGIBMGA014373	XP_012546802.1
BGIBMGA002143	XP_004932886.2
BGIBMGA010976	NP_001165389.1
BGIBMGA008458	XP_012547630.1
BGIBMGA001616	XP_012548742.1
BGIBMGA005412	XP_012551010.1
BGIBMGA006328	XP_012553285.1
BGIBMGA004351	XP_012546973.1
BGIBMGA000644	XP_012549091.1
BGIBMGA005656	XP_012546269.1
BGIBMGA013818	XP_004924351.1
BGIBMGA005997	XP_012548375.1
BGIBMGA002773	NP_001036881.1
BGIBMGA005157	XP_004921853.1
BGIBMGA005748	XP_012543922.1
BGIBMGA013222	XP_004922780.2
BGIBMGA009891	XP_012553393.1
BGIBMGA004082	XP_004922391.1
BGIBMGA009832	XP_012553396.1
BGIBMGA003151	XP_012550005.1
BGIBMGA004984	XP_004924589.1
BGIBMGA001669	XP_004922211.1
BGIBMGA014426	XP_004927576.1
BGIBMGA014590	XP_004934376.1
BGIBMGA004538	XP_004926091.1
BGIBMGA003251	XP_004924980.1
BGIBMGA008594	XP_012545328.1
BGIBMGA003639	XP_012549334.1
BGIBMGA000954	XP_004927853.1
BGIBMGA000456	XP_012550806.1
BGIBMGA000890	XP_012547377.1
BGIBMGA010449	XP_012548677.1
BGIBMGA010600	XP_012547074.1
BGIBMGA002324	XP_012547126.1
BGIBMGA005482	XP_004932178.1
BGIBMGA004566	XP_012553260.1
BGIBMGA000552	XP_004929846.1
BGIBMGA006581	XP_004930430.1
BGIBMGA007466	NP_001040409.1
BGIBMGA006111	XP_012548335.1
BGIBMGA006893	NP_001128673.1
BGIBMGA001788	XP_004922229.1
BGIBMGA002764	XP_012546720.1
BGIBMGA005568	XP_004922041.1
BGIBMGA000081	XP_004923153.1
BGIBMGA004126	XP_004922505.1
BGIBMGA007652	XP_012551526.1
BGIBMGA014024	XP_004933848.1
BGIBMGA010297	NP_001170880.1
BGIBMGA002814	NP_001091799.1
BGIBMGA003123	XP_004930896.1
BGIBMGA007467	XP_004926292.2
BGIBMGA000320	XP_004931895.1
BGIBMGA014207	NP_001106739.1
BGIBMGA008519	XP_004928304.1
BGIBMGA007951	XP_004928679.1
BGIBMGA008473	XP_012547481.1
BGIBMGA002708	XP_012551116.1
BGIBMGA009229	XP_004922663.1
BGIBMGA005740	XP_012546421.1
BGIBMGA004471	XP_004922562.1
BGIBMGA005143	XP_004921837.1
BGIBMGA006113	XP_012551822.1
BGIBMGA000110	XP_012552959.1
BGIBMGA001882	XP_012551966.1
BGIBMGA003442	NP_001036965.1
BGIBMGA000993	XP_004927817.1
BGIBMGA002958	XP_004931016.1
BGIBMGA013033	XP_012548188.1
BGIBMGA003388	XP_004922981.1
BGIBMGA012882	XP_012548115.1
BGIBMGA007130	XP_012551237.1
BGIBMGA010900	XP_012544241.1
BGIBMGA012644	XP_004927722.2
BGIBMGA003345	NP_001036986.1
BGIBMGA002287	XP_012547038.1
BGIBMGA004266	XP_004927540.1
BGIBMGA011672	XP_004931521.1
BGIBMGA011442	XP_004932692.1
BGIBMGA003129	XP_004930906.1
BGIBMGA009428	XP_012546992.1
BGIBMGA005537	XP_004922007.1
BGIBMGA011595	NP_001040333.1
BGIBMGA007598	XP_012547834.1
BGIBMGA000625	XP_012548991.1
BGIBMGA009489	XP_012552680.1
BGIBMGA009417	XP_004925433.2
BGIBMGA013993	XP_012544026.1
BGIBMGA004703	NP_001104796.1
BGIBMGA006839	NP_001106080.1
BGIBMGA010864	XP_004924282.2
BGIBMGA003038	NP_001188507.1
BGIBMGA008801	XP_012546270.1
BGIBMGA000662	XP_012548910.1
BGIBMGA004125	XP_012549511.1
BGIBMGA003821	XP_012546074.1
BGIBMGA012899	NP_001104820.1
BGIBMGA012903	XP_004928842.1
BGIBMGA003631	XP_012549238.1
BGIBMGA003542	XP_012549240.1
BGIBMGA002571	XP_004932405.1
BGIBMGA007744	XP_012547822.1
BGIBMGA010221	XP_012550304.1
BGIBMGA011712	XP_012550532.1
BGIBMGA000779	XP_012545468.1
BGIBMGA014053	XP_012547063.1
BGIBMGA010227	XP_004931322.1
BGIBMGA008985	XP_012550561.1
BGIBMGA013380	XP_012553330.1
BGIBMGA007412	XP_012543928.1
BGIBMGA009258	XP_012551822.1
BGIBMGA008074	XP_004922918.1
BGIBMGA011474	XP_004932657.1
BGIBMGA004957	XP_004924484.1
BGIBMGA007145	XP_012544905.1
BGIBMGA010797	XP_004933021.1
BGIBMGA011127	XP_004925979.1
BGIBMGA012795	XP_012548130.1
BGIBMGA013300	XP_004924903.1
BGIBMGA005393	XP_004932073.1
BGIBMGA009049	XP_012544312.1
BGIBMGA005372	XP_012551048.1
BGIBMGA006251	XP_012545421.1
BGIBMGA010135	XP_012550364.1
BGIBMGA001536	XP_004929656.1
BGIBMGA010674	XP_004925562.1
BGIBMGA013504	XP_004926237.1
BGIBMGA000365	XP_004931874.1
BGIBMGA003225	XP_012544880.1
BGIBMGA002870	XP_004921666.1
BGIBMGA011184	XP_004930786.1
BGIBMGA009193	XP_004927508.1
BGIBMGA003418	XP_004923092.1
BGIBMGA013881	XP_004924362.1
BGIBMGA001975	XP_004933461.1
BGIBMGA013791	XP_004923460.1
BGIBMGA006631	NP_001040524.1
BGIBMGA012249	XP_012551743.1
BGIBMGA005401	XP_004932256.1
BGIBMGA006963	XP_004923242.1
BGIBMGA001288	XP_012547165.1
BGIBMGA004557	XP_012553204.1
BGIBMGA011280	XP_004930706.1
BGIBMGA011883	XP_012550524.1
BGIBMGA004031	XP_004922487.2
BGIBMGA005181	XP_004926812.1
BGIBMGA001298	XP_004928121.1
BGIBMGA013384	XP_012553321.1
BGIBMGA011748	XP_004931619.2
BGIBMGA001680	XP_004922194.1
BGIBMGA004807	XP_012553114.1
BGIBMGA003942	XP_012546033.1
BGIBMGA005518	XP_004932239.1
BGIBMGA012808	XP_004928965.1
BGIBMGA012939	NP_001098698.1
BGIBMGA007659	XP_004928649.1
BGIBMGA000001	XP_004933829.2
BGIBMGA011447	XP_004932760.2
BGIBMGA007869	XP_004928585.1
BGIBMGA011657	XP_012550537.1
BGIBMGA012556	XP_004925200.1
BGIBMGA008017	NP_001036834.1
BGIBMGA001797	XP_004922245.1
BGIBMGA005040	XP_004921858.1
BGIBMGA005147	XP_012544578.1
BGIBMGA003743	XP_012549209.1
BGIBMGA013024	XP_012548160.1
BGIBMGA006735	XP_004930407.1
BGIBMGA011284	XP_004930702.1
BGIBMGA003338	NP_001093268.1
BGIBMGA013823	XP_004924386.1
BGIBMGA005249	XP_004924127.1
BGIBMGA014155	XP_004926160.1
BGIBMGA004333	XP_004925338.1
BGIBMGA012860	XP_012548055.1
BGIBMGA007557	XP_004924622.1
BGIBMGA000468	XP_004932062.1
BGIBMGA012377	XP_012545243.1
BGIBMGA014260	XP_004925395.1
BGIBMGA006101	XP_004929324.2
BGIBMGA001396	XP_004929721.1
BGIBMGA001569	XP_012548784.1
BGIBMGA000153	XP_012552890.1
BGIBMGA009687	XP_012551821.1
BGIBMGA001910	XP_012551940.1
BGIBMGA013249	XP_012552076.1
BGIBMGA012096	XP_012551595.1
BGIBMGA014026	XP_012546741.1
BGIBMGA006037	XP_012548319.1
BGIBMGA013412	XP_012553318.1
BGIBMGA001125	XP_004928016.1
BGIBMGA013190	XP_012551949.1
BGIBMGA008064	XP_012552728.1
BGIBMGA003316	XP_012552810.1
BGIBMGA005986	XP_012552009.1
BGIBMGA001491	XP_012548765.1
BGIBMGA012978	XP_012548121.1
BGIBMGA001239	NP_001040120.1
BGIBMGA003498	XP_004930307.1
BGIBMGA005214	XP_004926807.1
BGIBMGA000470	XP_012550812.1
BGIBMGA001407	XP_004929711.1
BGIBMGA008072	XP_004922913.1
BGIBMGA014620	XP_004933927.1
BGIBMGA005973	XP_012548428.1
BGIBMGA011125	XP_012546599.1
BGIBMGA000615	XP_012549028.1
BGIBMGA003786	XP_004934299.1
BGIBMGA001188	XP_012547213.1
BGIBMGA010642	XP_004925516.1
BGIBMGA006178	NP_001138798.1
BGIBMGA001499	XP_004929627.1
BGIBMGA010959	NP_001040538.1
BGIBMGA012322	XP_012551798.1
BGIBMGA002807	XP_004921606.1
BGIBMGA005797	XP_012543914.1
BGIBMGA009551	XP_012552184.1
BGIBMGA004578	XP_012553232.1
BGIBMGA012110	XP_004932992.1
BGIBMGA002842	XP_012552674.1
BGIBMGA006445	XP_012548173.1
BGIBMGA003854	XP_012544833.1
BGIBMGA000147	XP_012552933.1
BGIBMGA002761	XP_012546719.1
BGIBMGA005507	XP_012550992.1
BGIBMGA012005	XP_012546671.1
BGIBMGA013978	XP_012552085.1
BGIBMGA011633	XP_012550535.1
BGIBMGA001304	XP_012547172.1
BGIBMGA007486	XP_012545909.1
BGIBMGA001473	XP_004929740.1
BGIBMGA003296	NP_001037492.1
BGIBMGA003047	XP_004931048.1
BGIBMGA002248	XP_004922133.2
BGIBMGA004466	XP_012550375.1
BGIBMGA001452	XP_012548820.1
BGIBMGA013056	XP_012548203.1
BGIBMGA002433	XP_012550150.1
BGIBMGA008865	NP_001037156.1
BGIBMGA007569	XP_012544535.1
BGIBMGA007789	XP_012547723.1
BGIBMGA000736	XP_012549084.1
BGIBMGA000107	XP_004923115.1
BGIBMGA006913	XP_004923259.1
BGIBMGA000664	NP_001040235.1
BGIBMGA008163	XP_012551548.1
BGIBMGA010538	XP_004929453.1
BGIBMGA004800	XP_004923381.1
BGIBMGA007620	XP_004928691.1
BGIBMGA010572	XP_004929500.1
BGIBMGA006688	XP_012544604.1
BGIBMGA012437	NP_001166195.1
BGIBMGA012191	XP_004925115.1
BGIBMGA003478	XP_012549311.1
BGIBMGA002202	XP_012551691.1
BGIBMGA007921	XP_004928642.1
BGIBMGA004781	XP_004923402.1
BGIBMGA014378	XP_004927318.1
BGIBMGA010812	XP_004933036.1
BGIBMGA013228	XP_012552050.1
BGIBMGA012463	XP_012544008.1
BGIBMGA012689	XP_004924785.1
BGIBMGA002346	XP_012546906.1
BGIBMGA003687	XP_012549215.1
BGIBMGA004878	XP_012553126.1
BGIBMGA007605	XP_012547807.1
BGIBMGA004951	XP_004924492.1
BGIBMGA008288	XP_012547504.1
BGIBMGA001385	XP_012548870.1
BGIBMGA010467	XP_004929538.2
BGIBMGA001695	XP_012547440.1
BGIBMGA003025	XP_004930920.1
BGIBMGA005560	NP_001091810.1
BGIBMGA010995	XP_012545274.1
BGIBMGA006741	XP_012549544.1
BGIBMGA006058	XP_004929150.1
BGIBMGA000792	XP_012545475.1
BGIBMGA009214	XP_012551337.1
BGIBMGA004452	XP_004922536.1
BGIBMGA008855	NP_001037051.1
BGIBMGA001615	XP_004922362.2
BGIBMGA006305	XP_012553282.1
BGIBMGA006102	XP_004929156.1
BGIBMGA013114	NP_001040335.1
BGIBMGA007589	XP_012544556.1
BGIBMGA007263	XP_004925880.1
BGIBMGA008407	XP_012547464.1
BGIBMGA013676	XP_004926946.1
BGIBMGA006419	XP_012549549.1
BGIBMGA002219	XP_012546384.1
BGIBMGA012607	NP_001166732.1
BGIBMGA003767	NP_001135961.1
BGIBMGA005079	XP_012544639.1
BGIBMGA010528	XP_004929448.1
BGIBMGA003865	XP_004924938.1
BGIBMGA013106	XP_012548139.1
BGIBMGA007642	XP_004928664.1
BGIBMGA005868	XP_004926933.2
BGIBMGA008442	XP_004928187.1
BGIBMGA008525	XP_004928317.1
BGIBMGA014496	NP_001121607.1
BGIBMGA012031	NP_001040174.1
BGIBMGA000345	NP_001166725.1
BGIBMGA008119	XP_012543796.1
BGIBMGA011350	XP_012549860.1
BGIBMGA004668	XP_004927096.2
BGIBMGA004311	XP_004925315.1
BGIBMGA007299	XP_004925882.1
BGIBMGA004843	XP_012553109.1
BGIBMGA006832	XP_004924823.1
BGIBMGA000471	XP_012550780.1
BGIBMGA002132	XP_012551440.1
BGIBMGA012993	XP_004928911.1
BGIBMGA007475	XP_004926296.1
BGIBMGA006551	XP_012549442.1
BGIBMGA008345	XP_004928403.1
BGIBMGA012116	XP_004932936.1
BGIBMGA014368	XP_012551946.1
BGIBMGA000605	XP_004929939.2
BGIBMGA001663	XP_012547805.1
BGIBMGA005220	XP_012546170.1
BGIBMGA003678	XP_012549187.1
BGIBMGA005651	NP_001153677.1
BGIBMGA005597	XP_012547067.1
BGIBMGA003423	XP_004923044.1
BGIBMGA005432	XP_012551049.1
BGIBMGA003250	XP_004924978.1
BGIBMGA011348	XP_012549742.1
BGIBMGA002849	XP_012552864.1
BGIBMGA013147	XP_004926898.1
BGIBMGA000012	XP_004926114.2
BGIBMGA002432	XP_004931129.1
BGIBMGA012700	NP_001041678.1
BGIBMGA003315	XP_012552810.1
BGIBMGA006123	XP_012548461.1
BGIBMGA011016	XP_004921746.1
BGIBMGA002075	XP_012551488.1
BGIBMGA014324	XP_012548173.1
BGIBMGA004044	XP_012549404.1
BGIBMGA003267	XP_004924995.1
BGIBMGA000175	XP_012546797.1
BGIBMGA009025	XP_004931804.1
BGIBMGA013870	XP_004924345.1
BGIBMGA008703	XP_012551633.1
BGIBMGA008228	XP_004926824.1
BGIBMGA007665	XP_004928644.1
BGIBMGA014181	XP_012545790.1
BGIBMGA013833	NP_001243956.1
BGIBMGA002078	NP_001040400.1
BGIBMGA005949	NP_001040106.1
BGIBMGA006606	XP_004930408.1
BGIBMGA014498	NP_001121791.1
BGIBMGA008462	XP_012547459.1
BGIBMGA008117	XP_012545381.1
BGIBMGA007078	XP_004932497.2
BGIBMGA007515	XP_012544541.1
BGIBMGA009443	XP_012552474.1
BGIBMGA003185	XP_012550004.1
BGIBMGA011121	XP_004925987.1
BGIBMGA003737	XP_012549156.1
BGIBMGA010710	XP_012551668.1
BGIBMGA006714	XP_012549526.1
BGIBMGA001547	XP_012548792.1
BGIBMGA005711	XP_012546704.1
BGIBMGA007945	XP_004928669.1
BGIBMGA000556	XP_004929840.1
BGIBMGA002994	XP_004930967.1
BGIBMGA002695	XP_012551139.1
BGIBMGA007444	XP_004927587.2
BGIBMGA006721	XP_004930385.1
BGIBMGA009309	XP_012543845.1
BGIBMGA011636	XP_012550497.1
BGIBMGA003566	XP_004930042.1
BGIBMGA005580	XP_012545492.1
BGIBMGA010633	XP_012545284.1
BGIBMGA004282	XP_012545162.1
BGIBMGA005948	XP_012548296.1
BGIBMGA008803	XP_004927087.1
BGIBMGA003695	XP_004930150.1
BGIBMGA001365	XP_012546330.1
BGIBMGA006949	XP_012552992.1
BGIBMGA011448	XP_012551358.1
BGIBMGA010789	NP_001093290.1
BGIBMGA006941	XP_004923220.1
BGIBMGA002129	XP_012551438.1
BGIBMGA000431	NP_001166660.1
BGIBMGA005731	XP_012546407.1
BGIBMGA003005	XP_004930949.1
BGIBMGA010569	XP_012548733.1
BGIBMGA007048	XP_012551253.1
BGIBMGA012142	XP_004925158.1
BGIBMGA013324	XP_004927580.2
BGIBMGA014576	XP_004923858.1
BGIBMGA000586	XP_004929948.1
BGIBMGA005884	XP_012544564.1
BGIBMGA009684	XP_004933282.1
BGIBMGA002602	NP_001166792.1
BGIBMGA011586	XP_012551387.1
BGIBMGA005558	XP_004921984.1
BGIBMGA012955	XP_004929058.2
BGIBMGA004494	XP_012550870.1
BGIBMGA008673	XP_012545524.1
BGIBMGA000244	XP_004931968.1
BGIBMGA010785	XP_012551687.1
BGIBMGA013814	XP_012544270.1
BGIBMGA012268	XP_004933152.1
BGIBMGA011798	XP_004931515.1
BGIBMGA003352	XP_004923003.1
BGIBMGA001282	XP_012547161.1
BGIBMGA005150	XP_012545379.1
BGIBMGA012560	XP_012545027.1
BGIBMGA003278	XP_004925005.1
BGIBMGA005162	XP_004921862.1
BGIBMGA000039	NP_001091844.1
BGIBMGA009903	XP_004923704.1
BGIBMGA012931	XP_004928837.1
BGIBMGA006526	XP_012549596.1
BGIBMGA006624	XP_004930381.1
BGIBMGA010652	XP_004925530.1
BGIBMGA007330	XP_012543963.1
BGIBMGA003273	XP_012544867.1
BGIBMGA009004	XP_012550673.1
BGIBMGA002902	XP_004921608.1
BGIBMGA009855	NP_001091825.1
BGIBMGA006091	XP_004929138.1
BGIBMGA008419	XP_012547524.1
BGIBMGA013701	XP_004926377.1
BGIBMGA013487	XP_012545864.1
BGIBMGA005897	XP_004924727.1
BGIBMGA004053	XP_004922372.1
BGIBMGA000356	XP_012550810.1
BGIBMGA013746	NP_001036832.1
BGIBMGA004218	XP_012546773.1
BGIBMGA011175	XP_012549799.1
BGIBMGA007028	XP_004932487.1
BGIBMGA007178	XP_012544918.1
BGIBMGA009288	XP_004922711.2
BGIBMGA013402	XP_012553351.1
BGIBMGA004305	XP_012545149.1
BGIBMGA007740	XP_012547842.1
BGIBMGA006444	XP_004930539.1
BGIBMGA005209	XP_012552318.1
BGIBMGA012183	XP_012544952.1
BGIBMGA008342	XP_004928264.1
BGIBMGA010010	NP_001040212.1
BGIBMGA011241	XP_004930746.1
BGIBMGA006460	XP_004930542.1
BGIBMGA010211	XP_012550337.1
BGIBMGA009595	XP_004926336.1
BGIBMGA004918	XP_004924547.1
BGIBMGA001303	XP_004928127.1
BGIBMGA013869	XP_012544264.1
BGIBMGA003009	NP_001040536.1
BGIBMGA011849	XP_012550400.1
BGIBMGA000982	XP_012547435.1
BGIBMGA011274	XP_004930714.1
BGIBMGA013754	XP_004923456.1
BGIBMGA006389	XP_012549555.1
BGIBMGA001654	XP_004922230.1
BGIBMGA009402	XP_004925418.1
BGIBMGA003336	XP_004923022.1
BGIBMGA008868	XP_004931796.1
BGIBMGA011162	XP_004926023.1
BGIBMGA004934	XP_004924525.1
BGIBMGA007567	XP_012544523.1
BGIBMGA007514	XP_004924660.1
BGIBMGA013220	XP_012552485.1
BGIBMGA000806	XP_012545454.1
BGIBMGA002139	XP_012551441.1
BGIBMGA004339	XP_004925346.1
BGIBMGA011705	XP_004931628.1
BGIBMGA014153	XP_012545818.1
BGIBMGA002475	NP_001036981.1
BGIBMGA012893	NP_001040170.1
BGIBMGA001909	XP_004933383.1
BGIBMGA006690	XP_004930352.1
BGIBMGA008672	NP_001124365.1
BGIBMGA011691	XP_012550462.1
BGIBMGA013030	XP_012548233.1
BGIBMGA001437	NP_001037678.1
BGIBMGA005523	XP_012550967.1
BGIBMGA005596	XP_012546221.1
BGIBMGA012083	XP_012551599.1
BGIBMGA005152	XP_004921847.1
BGIBMGA009425	XP_012545222.1
BGIBMGA005774	NP_001040227.1
BGIBMGA003182	XP_012550085.1
BGIBMGA003422	XP_004923042.1
BGIBMGA010842	XP_004933069.2
BGIBMGA011953	XP_012544119.1
BGIBMGA007892	XP_004928617.1
BGIBMGA005289	NP_001093087.1
BGIBMGA013891	XP_004933571.1
BGIBMGA005133	XP_012544428.1
BGIBMGA007685	XP_004928618.1
BGIBMGA011011	XP_004921754.1
BGIBMGA013650	XP_004927386.2
BGIBMGA004545	XP_012553219.1
BGIBMGA001450	XP_004929648.1
BGIBMGA013203	XP_012552270.1
BGIBMGA005326	XP_004932293.2
BGIBMGA005476	XP_012550968.1
BGIBMGA008080	XP_012552761.1
BGIBMGA007073	XP_004932485.1
BGIBMGA009957	XP_012546060.1
BGIBMGA010120	XP_004931362.1
BGIBMGA011105	XP_012545665.1
BGIBMGA002222	XP_012546383.1
BGIBMGA011881	XP_004931687.1
BGIBMGA002922	NP_001037034.1
BGIBMGA000436	NP_001166650.1
BGIBMGA011872	XP_012550491.1
BGIBMGA003363	XP_004922982.1
BGIBMGA007840	XP_004928552.1
BGIBMGA004965	NP_001127730.1
BGIBMGA013358	XP_012546215.1
BGIBMGA014103	XP_004925183.2
BGIBMGA000944	NP_001036985.1
BGIBMGA006852	XP_012544703.1
BGIBMGA009747	XP_012551829.1
BGIBMGA006406	XP_012549567.1
BGIBMGA007177	XP_012544929.1
BGIBMGA001534	XP_004929766.1
BGIBMGA011566	XP_004932676.1
BGIBMGA013298	XP_012544762.1
BGIBMGA003563	XP_004930048.1
BGIBMGA004769	XP_012544068.1
BGIBMGA010420	XP_012548671.1
BGIBMGA005659	XP_012545896.1
BGIBMGA004784	XP_004923397.1
BGIBMGA009564	XP_012547021.1
BGIBMGA013057	XP_012548202.1
BGIBMGA003294	XP_004923063.1
BGIBMGA011435	NP_001266358.1
BGIBMGA014578	XP_012552359.1
BGIBMGA004038	XP_012549375.1
BGIBMGA004592	XP_004923501.1
BGIBMGA004948	XP_004924495.1
BGIBMGA010708	XP_004933121.1
BGIBMGA004270	XP_004925347.1
BGIBMGA004997	XP_012544393.1
BGIBMGA008347	NP_001124348.1
BGIBMGA006124	XP_012548461.1
BGIBMGA002522	XP_004931255.1
BGIBMGA010149	XP_012550359.1
BGIBMGA011704	XP_004931628.1
BGIBMGA014007	XP_012552068.1
BGIBMGA008131	XP_004923785.2
BGIBMGA000477	XP_012548938.1
BGIBMGA012362	XP_012551784.1
BGIBMGA003033	XP_004930898.2
BGIBMGA013669	XP_004926949.1
BGIBMGA006196	NP_001157380.1
BGIBMGA004057	NP_001166614.1
BGIBMGA014411	XP_004927644.1
BGIBMGA001078	XP_012547132.1
BGIBMGA006864	XP_004924850.1
BGIBMGA011599	NP_001091760.1
BGIBMGA010557	XP_004929477.1
BGIBMGA003401	XP_012552813.1
BGIBMGA013397	XP_004923622.2
BGIBMGA001122	XP_012547118.1
BGIBMGA010107	XP_004931378.1
BGIBMGA005565	XP_004921970.1
BGIBMGA000503	XP_012548982.1
BGIBMGA004501	NP_001040412.1
BGIBMGA004586	XP_012553191.1
BGIBMGA006544	XP_012549361.1
BGIBMGA001136	NP_001091763.1
BGIBMGA009958	XP_004926455.1
BGIBMGA003470	XP_012549270.1
BGIBMGA006623	XP_012549374.1
BGIBMGA004935	XP_012544452.1
BGIBMGA009311	XP_012548666.1
BGIBMGA008382	XP_004928185.1
BGIBMGA002965	XP_004931003.1
BGIBMGA000797	XP_012545462.1
BGIBMGA005864	XP_004926929.1
BGIBMGA003973	XP_012549546.1
BGIBMGA003933	XP_012546044.1
BGIBMGA001966	NP_001040290.1
BGIBMGA000336	NP_001166717.1
BGIBMGA000807	XP_004925721.1
BGIBMGA002550	XP_012550136.1
BGIBMGA002854	NP_001243974.1
BGIBMGA005970	XP_012548325.1
BGIBMGA008566	XP_012547589.1
BGIBMGA001171	XP_012547250.1
BGIBMGA003080	XP_004931031.2
BGIBMGA004208	NP_001040249.1
BGIBMGA012013	XP_004932969.1
BGIBMGA003027	XP_004930917.1
BGIBMGA004744	XP_004924088.1
BGIBMGA011861	XP_004931599.1
BGIBMGA002254	XP_012552384.1
BGIBMGA010388	XP_004929492.1
BGIBMGA001221	XP_004927893.1
BGIBMGA001492	XP_012548807.1
BGIBMGA004778	XP_012544058.1
BGIBMGA005977	NP_001040251.1
BGIBMGA008589	XP_012545326.1
BGIBMGA010125	XP_004931415.1
BGIBMGA010495	XP_004929402.1
BGIBMGA009086	XP_012544305.1
BGIBMGA009351	XP_012549781.1
BGIBMGA012105	XP_004932925.1
BGIBMGA005919	XP_012547009.1
BGIBMGA011466	XP_004932665.1
BGIBMGA013886	XP_004933579.1
BGIBMGA011505	XP_004932621.1
BGIBMGA013843	XP_012544276.1
BGIBMGA000497	XP_012548973.1
BGIBMGA010301	XP_012547034.1
BGIBMGA003167	XP_004930961.1
BGIBMGA010054	XP_012553054.1
BGIBMGA002545	NP_001091785.1
BGIBMGA014287	XP_004934355.1
BGIBMGA013148	NP_001040240.1
BGIBMGA011756	XP_004931457.1
BGIBMGA001727	XP_012547430.1
BGIBMGA001662	XP_012547824.1
BGIBMGA003023	XP_004930924.1
BGIBMGA013737	XP_004923473.1
BGIBMGA005496	NP_001106224.1
BGIBMGA002884	XP_012553032.1
BGIBMGA013345	XP_012546212.1
BGIBMGA011425	XP_012551338.1
BGIBMGA002753	NP_001240824.1
BGIBMGA002359	XP_004926746.1
BGIBMGA007408	NP_001243918.1
BGIBMGA005896	XP_004924722.1
BGIBMGA013001	XP_012548163.1
BGIBMGA007919	XP_004928638.1
BGIBMGA001969	XP_012551950.1
BGIBMGA005129	XP_012544713.1
BGIBMGA010648	XP_004925514.1
BGIBMGA010673	XP_012545299.1
BGIBMGA009497	XP_004922825.1
BGIBMGA010863	XP_004924282.2
BGIBMGA010645	XP_012545282.1
BGIBMGA014227	XP_012545191.1
BGIBMGA000334	NP_001166715.1
BGIBMGA013045	NP_001037478.1
BGIBMGA014574	XP_004933838.2
BGIBMGA000252	NP_001166626.1
BGIBMGA012356	XP_012551724.1
BGIBMGA011314	NP_001157385.1
BGIBMGA012069	XP_004932906.1
BGIBMGA013359	XP_012546217.1
BGIBMGA005757	XP_012543877.1
BGIBMGA004143	XP_004924272.1
BGIBMGA011732	XP_004931455.1
BGIBMGA003068	XP_004930877.1
BGIBMGA008298	XP_012547684.1
BGIBMGA012845	XP_012548176.1
BGIBMGA010452	XP_004929431.1
BGIBMGA002861	XP_012546823.1
BGIBMGA007757	NP_001153661.1
BGIBMGA002707	XP_012551115.1
BGIBMGA007049	XP_004932468.1
BGIBMGA005003	XP_012544429.1
BGIBMGA002103	NP_001036885.1
BGIBMGA001871	XP_004933434.1
